CountryCd	Year	CountryName	FieldEducation	Graduates	YoungAdults
ITA	2002	Italy	Business and administration (ISC 34)	30044	16743462
ITA	2002	Italy	Agriculture	4144	16743462
ITA	2002	Italy	Health and welfare	28004	16743462
ITA	2003	Italy	Law (ISC 38)	28361	16681845
ITA	2003	Italy	Life sciences (ISC 42)	7253	16681845
ITA	2003	Italy	Transport services (ISC 84)	442	16681845
ITA	2003	Italy	Mathematics and statistics (ISC 46)	4723	16681845
ITA	2003	Italy	Education (ISC 14)	17600	16681845
ITA	2003	Italy	Computing (ISC 48)	2600	16681845
ITA	2003	Italy	Humanities and Arts	29725	16681845
ITA	2003	Italy	Engineering, manufacturing and construction	37846	16681845
ITA	2003	Italy	Social and behavioural science (ISC 31)	20350	16681845
ITA	2003	Italy	Journalism and information (ISC 32)	3172	16681845
ITA	2003	Italy	Architecture and building (ISC 58)	10588	16681845
ITA	2003	Italy	Business and administration (ISC 34)	31647	16681845
ITA	2003	Italy	Agriculture	5381	16681845
ITA	2003	Italy	Environmental protection (ISC 85)	926	16681845
ITA	2003	Italy	Health and welfare	39735	16681845
ITA	2003	Italy	Engineering and engineering trades (ISC 52)	25676	16681845
ITA	2004	Italy	Health and welfare	49947	16647300
ITA	2004	Italy	Life sciences (ISC 42)	10596	16647300
ITA	2004	Italy	Business and administration (ISC 34)	40418	16647300
ITA	2004	Italy	Education (ISC 14)	27263	16647300
ITA	2004	Italy	Computing (ISC 48)	3757	16647300
ITA	2004	Italy	Humanities and Arts	39211	16647300
ITA	2004	Italy	Mathematics and statistics (ISC 46)	4740	16647300
ITA	2004	Italy	Social and behavioural science (ISC 31)	32941	16647300
ITA	2004	Italy	Journalism and information (ISC 32)	8748	16647300
